SciName,campaign,year,season,unit,subunit,site,point_name,habitat,lon,lat,date,time,rad_0_20,rad_20_100,rad_100_250,rad_over_250,protocol,monitors_name,comment_weather,comment_disturbances,notes,record_id,total_count,weather_desc,wind,precipitation,temperature,clouds,disturbances,pilot,agriculture,settlements,dunes,land_use,interaction,protocol.version,established,SPECIES_CODE,count_under_250
Lanius excubitor,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,1,0,0,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,norshr1,1
Lanius excubitor,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,1,0,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,norshr1,1
Merops apiaster,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,26,0,0,0,A,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eubeat1,26
Psittacula krameri,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,0,1,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,rorpar,1
Pycnonotus xanthopygos,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,2,0,0,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,whsbul1,2
Pycnonotus xanthopygos,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,1,0,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,whsbul1,1
Streptopelia decaocto,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,1,0,0,5,A,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eucdov,1
Streptopelia decaocto,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,1,0,2,0,B,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eucdov,3
Streptopelia turtur,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,0,0,2,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eutdov,0
Curruca melanocephala,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,1,1,2,0,A,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,sarwar1,4
Curruca melanocephala,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,1,0,1,2,B,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,sarwar1,2
Turdus merula,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,3,1,0,A,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eurbla,4
Turdus merula,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 2,Limestone,35.52406,33.02993,23/04/2018 00:00,07:18:00,0,2,2,0,B,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eurbla,4
Alectoris chukar,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,1,1,1,A,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,chukar,2
Alectoris chukar,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,0,3,B,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,chukar,0
Carduelis carduelis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,2,3,0,A,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eurgol,5
Carduelis carduelis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,3,0,B,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eurgol,3
Ciconia ciconia,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,7,1,0,4,A,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,whisto1,8
Clamator glandarius,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,1,0,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,grscuc1,1
Clamator glandarius,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,0,2,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,grscuc1,0
Corvus cornix,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,1,2,A,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,hoocro1,1
Corvus cornix,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,3,2,B,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,hoocro1,3
Galerida cristata,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,1,2,0,A,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,crelar1,3
Galerida cristata,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,1,1,0,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,crelar1,2
Cinnyris osea,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,0,1,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,palsun2,0
Parus major,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,1,0,0,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,gretit1,1
Pycnonotus xanthopygos,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,2,1,A,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,whsbul1,2
Pycnonotus xanthopygos,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,2,1,B,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,whsbul1,2
Streptopelia decaocto,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,0,1,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eucdov,0
Streptopelia decaocto,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,1,1,4,B,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eucdov,2
Streptopelia turtur,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,0,1,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eutdov,0
Curruca communis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,0,2,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,grewhi1,0
Curruca melanocephala,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,3,2,0,A,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,sarwar1,5
Curruca melanocephala,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,2,3,0,B,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,sarwar1,5
Turdus merula,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Far 3,Limestone,35.53968,33.01635,11/04/2018 00:00,07:19:00,0,0,1,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Far,NA,NA,NA,,NA,NA,eurbla,1
Alectoris chukar,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,2,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,chukar,0
Carduelis carduelis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,3,A,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eurgol,0
Chloris chloris,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,1,0,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eurgre1,1
Chloris chloris,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,2,0,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eurgre1,2
Ciconia ciconia,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,5,B,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,whisto1,0
Ciconia nigra,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,25,A,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,blasto1,0
Ciconia nigra,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,35,B,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,blasto1,0
Circaetus gallicus,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,1,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,shteag1,0
Clamator glandarius,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,1,0,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,grscuc1,1
Corvus cornix,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,2,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,hoocro1,0
Dendrocopos syriacus,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,1,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,syrwoo1,0
Dendrocopos syriacus,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,1,0,1,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,syrwoo1,1
Cecropis daurica,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,9,A,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,rerswa1,0
Cecropis daurica,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,7,0,0,B,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,rerswa1,7
Hirundo rustica,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,12,A,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,barswa,0
Hirundo rustica,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,5,0,0,B,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,barswa,5
Cinnyris osea,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,1,0,1,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,palsun2,1
Cinnyris osea,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,1,0,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,palsun2,1
Parus major,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,1,1,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,gretit1,1
Parus major,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,1,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,gretit1,1
Psittacula krameri,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,2,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,rorpar,0
Psittacula krameri,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,9,B,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,rorpar,0
Streptopelia decaocto,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,2,1,0,A,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eucdov,3
Streptopelia turtur,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,0,2,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eutdov,0
Curruca melanocephala,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,2,0,0,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,sarwar1,2
Curruca melanocephala,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,1,0,0,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,sarwar1,1
Turdus merula,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,0,1,1,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eurbla,1
Turdus merula,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 1,Limestone,35.54795,33.03603,11/04/2018 00:00,09:13:00,0,1,0,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eurbla,1
Anthus trivialis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,2,0,0,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,trepip,2
Bubulcus ibis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,0,8,B,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,categr,0
Carduelis carduelis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,3,0,0,A,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eurgol,3
Chloris chloris,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,2,0,0,B,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eurgre1,2
Ciconia ciconia,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,1,25,A,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,whisto1,1
Ciconia ciconia,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,1,4,5,2,B,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,whisto1,10
Clamator glandarius,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,0,1,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,grscuc1,0
Columba livia,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,0,18,B,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,rocpig,0
Corvus cornix,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,1,0,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,hoocro1,1
Galerida cristata,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,1,0,0,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,crelar1,1
Galerida cristata,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,1,0,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,crelar1,1
Parus major,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,2,0,0,A,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,gretit1,2
Parus major,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,2,1,B,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,gretit1,2
Pycnonotus xanthopygos,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,2,2,0,0,A,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,whsbul1,4
Pycnonotus xanthopygos,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,4,0,0,B,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,whsbul1,4
Streptopelia decaocto,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,0,17,A,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eucdov,0
Streptopelia decaocto,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,0,1,B,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,eucdov,0
Curruca communis,T2,2018,Spring,Herbaceous and Dwarf-Shrub Vegetation,NA,Hatzor,Hatzor Near 2,Limestone,35.54788,33.01383,11/04/2018 00:00,06:47:00,0,0,1,0,A,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,Near,NA,NA,NA,,NA,NA,grewhi1,1
